JHS_AVE,171_SHS,172_SHS,181_SHS,182_SHS,191_UNTS,191_GPA,192_UNTS,192_GPA,201_UNTS,201_GPA,202_UNTS,202_GPA,COLL_GPA_AVERAGE,SHS_GPA_AVERAGE,UNITS_AVERAGE,SEX,AGE,IS_PROVINCE,IS_LIVING_WITH_FAMILY,IS_BOARDING,JHS_TYPE,IS_SCHOLAR,PARENTS_MONTHLY_INCOME,FATHER_EDUC_BACKGROUND,MOTHER_EDUC_BACKGROUND,IS_GRADUATE
1.6,1.8,1.8,1.8,1.6,29,2.2,29,1.9,23,2.6,20,2.3,2.3,1.8,25.3,F,17,1,0,1,G,1,3,2,2,Completed
2.2,1.8,1.7,1.6,1.6,26,2.6,22,2.3,18,2.2,24,3.6,2.7,1.7,22.5,M,18,0,1,0,P,0,2,4,2,Not Completed
2,1.8,1.6,1.8,1.6,29,1.9,29,1.7,29,2,27,1.9,1.9,1.7,28.5,F,18,1,1,0,G,0,2,3,2,Completed
2.4,2,2.2,2.4,2,25,2.3,24,2.8,26,3.1,25,2.7,2.7,2.2,25,M,19,0,1,0,G,1,3,3,4,Completed
2,2.2,2,2,2.2,25,2.2,21,2.5,29,2.6,26,2.8,2.5,2.1,25.3,F,18,0,1,0,G,0,2,4,2,Completed
1.9,2,1.8,2,1.9,25,2.2,24,2.3,26,2.8,25,1.9,2.3,1.9,25,F,17,0,1,0,G,0,4,4,2,Not Completed
2.2,2,2,2.2,2,23,2,26,2.8,21,2.6,20,2.3,2.4,2.1,22.5,M,19,0,1,0,G,1,4,2,3,Completed
1.7,1.4,1.4,1.4,1.4,26,1.8,26,2,28,2.2,24,2.2,2.1,1.4,26,F,17,1,1,0,G,1,4,2,2,Completed
2.3,2,2,1.4,1.4,29,1.6,29,1.7,29,1.6,29,1.7,1.7,1.7,29,M,17,0,1,0,P,1,2,2,2,Completed
2.3,2.4,2.5,2.4,2.3,29,1.6,29,1.6,29,1.5,26,1.7,1.6,2.4,28.3,M,18,1,1,0,G,0,4,3,2,Completed
1.8,1.6,1.6,1.6,1.8,25,2.1,24,2.7,26,2.5,25,2.4,2.4,1.7,25,F,18,0,1,0,G,1,4,4,2,Not Completed
2.2,1.8,1.8,2,1.8,17,1.5,20,1.9,26,1.8,6,1.9,1.8,1.9,17.3,F,19,1,1,0,G,1,2,2,2,Completed
2.2,2,2.2,2,1.9,23,2.2,26,2.3,23,2.4,23,2.3,2.3,2,23.8,M,19,1,0,1,G,1,3,3,2,Not Completed
1.8,1.4,1.4,1.6,1.4,30,1.7,31,1.6,25,1.6,6,1.8,1.7,1.5,23,F,16,0,1,0,P,1,4,4,3,Completed
2,2.6,2.4,2.6,2.2,23,1.5,26,1.4,23,1.6,23,1.6,1.5,2.5,23.8,F,17,1,0,1,P,0,2,2,2,Not Completed
2,1.8,1.6,1.6,1.8,26,2,26,2.2,28,2.9,26,2.9,2.5,1.7,26.5,F,18,0,1,0,G,1,2,4,2,Completed
2.4,2.4,2.2,2.2,2.2,23,1.5,26,1.5,23,1.7,23,1.8,1.6,2.3,23.8,M,17,0,1,0,G,1,2,4,3,Not Completed
1.9,1.6,1.8,1.8,1.6,26,2,26,1.9,23,1.9,23,1.9,1.9,1.7,24.5,F,18,0,1,0,G,1,2,4,3,Completed
1.8,1.6,1.8,1.8,1.6,23,2.3,26,2.3,23,3.2,23,3.1,2.7,1.7,23.8,F,18,1,1,0,P,1,3,4,4,Not Completed
