shs_gpa,coll_gpa,age,sex,is_boarding,is_living_with_family,is_province,is_scholar,father_educ,mother_educ,financial_status,IS_GRADUATE,feedback,sentiments,Department
1.8,2.3,17,0,1,0,1,1,2,2,3,Completed,The student activities are well-organized and fun.,2,Student Affairs Office (SAO)
1.7,2.7,18,1,0,1,0,0,4,2,2,Not Completed,The office can be disorganized at times.,1,Student Affairs Office (SAO)
1.7,1.9,18,0,0,1,1,0,3,2,2,Completed,The staff are helpful in explaining tuition fees.,2,Accounting
2.2,2.7,19,1,0,1,0,1,3,4,3,Completed,Ang mga instructors kay approachable ug maayo mo-explain.,2,College Department
2.1,2.5,18,0,0,1,0,0,4,2,2,Completed,"Sometimes, the staff are not responsive.",1,Student Affairs Office (SAO)
1.9,2.3,17,0,0,1,0,0,4,2,4,Not Completed,Dali ra duolon ang mga staff sa SAO ug andam sila mo-tabang.,2,Student Affairs Office (SAO)
2.1,2.4,19,1,0,1,0,1,2,3,4,Completed,The accounting office processes payments quickly.,2,Accounting
1.4,2.1,17,0,0,1,1,1,2,2,4,Completed,"The SAO staff are okay, but they could be more accommodating.",0,Student Affairs Office (SAO)
1.7,1.7,17,1,0,1,0,1,2,2,2,Completed,The accounting office processes payments quickly.,2,Accounting
2.4,1.6,18,1,0,1,1,0,3,2,4,Completed,The staff are helpful in explaining tuition fees.,2,Accounting
1.7,2.4,18,0,0,1,0,1,4,2,4,Not Completed,Dili klaro ang process sa pagkuha ug event permits.,1,Student Affairs Office (SAO)
1.9,1.8,19,0,0,1,1,1,2,2,2,Completed,The accounting office processes payments quickly.,2,Accounting
2,2.3,19,1,1,0,1,1,3,2,3,Not Completed,The SAO staff are friendly and approachable.,2,Student Affairs Office (SAO)
1.5,1.7,16,0,0,1,0,1,4,3,4,Completed,"Maayo kaayo ang training sa among course, daghan mi makat-unan.",2,College Department
2.5,1.5,17,0,1,0,1,0,2,2,2,Not Completed,"Dali ra ang transaction sa accounting office, walay hasol.",2,Accounting
1.7,2.5,18,0,0,1,0,1,4,2,2,Completed,"Usahay, lisod kaayo makuha ang breakdown sa fees.",1,Accounting
2.3,1.6,17,1,0,1,0,1,4,3,2,Not Completed,Classes are well-organized and engaging.,2,College Department
1.7,1.9,18,0,0,1,0,1,4,3,2,Completed,"Dali ra ang transaction sa accounting office, walay hasol.",2,Accounting
1.7,2.7,18,0,0,1,1,1,4,4,3,Not Completed,The accounting office processes payments quickly.,2,Accounting
2,4.3,19,0,0,1,0,1,4,3,3,Not Completed,Maayo ug accommodating ang mga taga-accounting.,2,Accounting
2,2.1,17,1,0,1,0,0,2,2,3,Completed,The staff are helpful in explaining tuition fees.,2,Accounting
1.9,2.3,18,0,0,1,0,1,4,3,2,Completed,Billing statements are always clear and detailed.,2,Accounting
2,2.4,19,0,0,1,0,1,2,2,3,Not Completed,There are both good and bad experiences in this department.,0,College Department
1.7,2.3,18,1,0,1,0,1,4,3,4,Completed,They provide great support for student organizations.,2,Student Affairs Office (SAO)
1.4,1.7,18,1,0,1,0,1,4,4,2,Completed,There are hidden charges that are not explained properly.,1,Accounting
1.6,1.6,20,1,0,1,0,0,4,4,3,Completed,"Some activities are fun, but others are not well-planned.",0,Student Affairs Office (SAO)
1.4,2.2,18,1,0,1,0,1,3,2,3,Not Completed,"The courses are okay, but could use more hands-on activities.",0,College Department
