shs_gpa,coll_gpa,age,sex,is_boarding,is_living_with_family,is_province,is_scholar,father_educ,mother_educ,financial_status,IS_GRADUATE
1.8,2.3,17,0,1,0,1,1,2,2,3,Completed
1.7,2.7,18,1,0,1,0,0,4,2,2,Not Completed
1.7,1.9,18,0,0,1,1,0,3,2,2,Completed
2.2,2.7,19,1,0,1,0,1,3,4,3,Completed
2.1,2.5,18,0,0,1,0,0,4,2,2,Completed
1.9,2.3,17,0,0,1,0,0,4,2,4,Not Completed
2.1,2.4,19,1,0,1,0,1,2,3,4,Completed
1.4,2.1,17,0,0,1,1,1,2,2,4,Completed
1.7,1.7,17,1,0,1,0,1,2,2,2,Completed
2.4,1.6,18,1,0,1,1,0,3,2,4,Completed
1.7,2.4,18,0,0,1,0,1,4,2,4,Not Completed
1.9,1.8,19,0,0,1,1,1,2,2,2,Completed
2,2.3,19,1,1,0,1,1,3,2,3,Not Completed
1.5,1.7,16,0,0,1,0,1,4,3,4,Completed
2.5,1.5,17,0,1,0,1,0,2,2,2,Not Completed
1.7,2.5,18,0,0,1,0,1,4,2,2,Completed
2.3,1.6,17,1,0,1,0,1,4,3,2,Not Completed
1.7,1.9,18,0,0,1,0,1,4,3,2,Completed
1.7,2.7,18,0,0,1,1,1,4,4,3,Not Completed
2,4.3,19,0,0,1,0,1,4,3,3,Not Completed
2,2.1,17,1,0,1,0,0,2,2,3,Completed
1.9,2.3,18,0,0,1,0,1,4,3,2,Completed
2,2.4,19,0,0,1,0,1,2,2,3,Not Completed
1.7,2.3,18,1,0,1,0,1,4,3,4,Completed
1.4,1.7,18,1,0,1,0,1,4,4,2,Completed
1.6,1.6,20,1,0,1,0,0,4,4,3,Completed
1.4,2.2,18,1,0,1,0,1,3,2,3,Not Completed
2,2.2,18,0,1,0,1,1,4,3,4,Not Completed
1.6,2.2,18,0,0,1,0,0,2,2,4,Not Completed
2.2,2.5,17,1,0,1,0,0,2,2,4,Not Completed
1.5,2.1,18,0,1,0,1,1,4,3,2,Completed
1.4,5,17,1,0,1,1,0,4,3,3,Not Completed
2.2,2.7,23,1,0,1,1,0,4,3,2,Not Completed
1.6,2,18,0,1,0,1,0,4,4,2,Not Completed
1.7,3.6,17,0,0,1,1,0,3,2,4,Not Completed
2,2.2,17,1,0,1,1,1,4,2,4,Not Completed
1.8,2.2,19,0,1,0,1,0,4,2,3,Completed
1.4,2.8,18,1,0,1,1,0,3,2,3,Not Completed
2.1,2,19,0,1,0,1,0,4,3,4,Completed
2,2,18,0,1,0,1,1,4,3,4,Completed
2,2.1,18,1,1,0,1,0,4,4,3,Completed
1.8,1.9,20,0,0,1,1,0,4,4,2,Completed
2,2.1,18,0,0,1,1,1,4,3,2,Completed
1.9,2,18,0,0,1,0,1,4,4,2,Completed
1.9,2,18,1,1,0,1,1,4,4,2,Completed
1.7,1.9,19,0,1,0,1,0,4,4,2,Not Completed
1.6,1.7,17,0,0,1,1,0,4,3,3,Completed
1.9,2,18,0,0,1,1,0,4,3,4,Not Completed
2.1,2,18,0,0,1,1,1,4,2,4,Completed
1.6,3,18,0,1,0,1,1,4,4,4,Not Completed
2,2.8,19,1,0,1,0,1,4,3,3,Completed
2.1,1.9,19,0,1,0,1,0,4,3,2,Not Completed
2.1,1.7,18,1,0,1,1,0,4,3,3,Not Completed
